month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2025-05,Utah,10667,52811,4982,3944,632,0,0,2,5,0,200,140,0,182,32,51,0,0,0,0,0,0,0,0,73648
2025-05,Vermont,0,0,1264,1217,112,94,0,0,1,0,6,3,0,8,2,0,0,0,1,2,0,0,0,0,2710
2025-05,Virgin Islands,160,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,215
2025-05,Virginia,191,55,21710,11511,3141,0,0,0,0,0,0,0,0,506,46,7,0,0,0,0,0,0,0,0,37167
2025-05,Washington,10188,557,13076,6347,575,117,18,1,0,0,492,275,2,583,102,14,0,0,743,383,59,29,27,0,33588
2025-05,West Virginia,1962,128,4577,4354,231,345,0,1,0,0,662,507,2,18,13,6,0,0,4,18,0,0,1,0,12829
2025-05,Wisconsin,17690,920,12906,9911,750,40,0,0,0,0,163,206,17,190,39,11,0,0,0,1,0,0,0,0,42844
2025-05,Wyoming,445,10,2013,1827,135,129,9,0,0,0,150,92,1,34,4,0,0,0,7,5,1,0,0,0,4862
2025-04,Alabama,11607,180,17334,10003,909,910,0,7,0,0,1891,747,8,60,4,0,0,0,7,10,0,1,0,1,43679
2025-04,Alaska,101,259,3050,2500,253,197,0,0,0,0,147,90,2,33,18,0,0,0,1,0,0,0,0,0,6651
2025-04,Arizona,13511,106,17342,7747,1298,969,0,4,2,0,1131,398,9,314,14,0,0,0,10,3,0,0,1,1,42860
2025-04,Arkansas,2287,151,6077,4854,346,428,17,8,3,1,845,605,3,0,0,0,0,0,9,4,2,0,0,0,15640
2025-04,California,32412,11576,38004,18296,3493,0,0,0,0,0,608,402,30,1989,787,31,0,0,7445,3142,587,45,14,0,118861
2025-04,Colorado,10047,4,25128,14804,3457,2648,0,0,0,0,0,0,0,380,35,6,0,0,0,0,0,0,0,0,56509
2025-04,Connecticut,7326,763,5582,1896,239,0,4,0,0,0,61,22,0,77,0,4,0,0,9,3,0,0,0,0,15986
2025-04,Delaware,1024,0,1800,1016,102,108,0,0,0,0,17,9,0,68,1,0,0,0,25,11,1,0,1,0,4183
2025-04,District of Columbia,1169,1,326,22,2,7,17,0,0,0,0,0,0,9,0,41,0,0,0,0,0,0,0,0,1594
2025-04,Florida,10937,0,52929,18819,3683,2986,1,31,17,0,3104,728,5,1899,125,6,0,0,264,124,33,64,48,2,95805
2025-04,Georgia,9743,0,17422,7954,824,771,0,5,4,0,1718,643,19,64,2,0,0,0,7,7,0,0,0,0,39183
2025-04,Guam,0,0,244,90,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351
2025-04,Hawaii,1527,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,1543
2025-04,Idaho,7392,269,5010,4530,422,335,0,2,1,0,256,217,1,71,7,1,0,0,9,12,0,1,0,0,18536
2025-04,Illinois,12344,188316,23552,9211,930,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,234355
2025-04,Indiana,359,27286,18180,10789,1307,1016,0,0,0,0,718,273,15,73,4,0,0,0,31,20,1,2,0,0,60074
2025-04,Iowa,3101,5755,3048,2705,161,126,5,1,0,0,34,26,0,130,18,2,0,0,3,1,0,0,0,0,15116
2025-04,Kansas,1977,6,5923,4635,462,372,0,0,0,0,375,143,3,132,13,1,0,0,8,4,1,1,0,0,14056
2025-04,Kentucky,678,280960,9348,7450,453,590,0,4,2,0,1175,665,4,53,7,0,0,0,12,6,3,1,1,0,301412
2025-04,Louisiana,512,0,10514,5339,584,497,0,2,1,0,720,390,6,2,1,0,0,0,12,4,0,0,0,0,18584
2025-04,Maine,601,14,3665,3321,292,266,1,0,0,0,35,32,0,21,12,1,0,0,5,8,0,0,0,0,8274
2025-04,Mariana Islands,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2025-04,Maryland,14053,6984,9301,5390,139,9,0,1,0,0,114,71,1,134,32,8,0,0,0,11,0,0,0,0,36248
2025-04,Massachusetts,11314,0,6155,2419,595,246,9,0,0,0,8,7,0,1,0,1,0,0,57,25,3,1,1,0,20842
2025-04,Michigan,28517,9071,17512,14436,1352,757,63,2,1,0,47,168,5,413,44,54,0,0,11,8,0,0,1,0,72462
2025-04,Minnesota,12758,46636,10321,10987,730,791,0,0,1,0,151,151,1,125,26,7,0,0,27,33,3,0,0,0,82748
2025-04,Mississippi,1312,0,7667,4553,383,369,0,2,3,1,1184,509,3,21,0,0,0,0,4,2,0,0,0,0,16013
2025-04,Missouri,1548,199,17132,13698,1271,1179,0,4,2,0,991,481,9,381,29,1,0,0,15,21,3,1,0,0,36965
2025-04,Montana,1313,2,4162,4372,303,362,11,0,2,1,338,359,3,71,19,6,0,0,3,5,0,0,0,0,11332
2025-04,Nebraska,3924,223,163,1318,29,6,3,0,0,0,1,22,0,53,8,0,0,0,0,1,0,0,0,0,5751
2025-04,Nevada,2955,0,5520,2546,334,310,0,1,1,0,264,67,0,7,3,1,0,0,0,0,0,0,42,8,12059
2025-04,New Hampshire,1476,19,6362,2974,386,1,36,0,0,0,0,8,0,225,4,7,0,0,0,0,0,0,0,0,11498
2025-04,New Jersey,0,0,8484,3566,712,0,0,0,0,0,0,0,0,2,0,0,0,0,123,85,4,0,0,0,12976
2025-04,New Mexico,1014,0,5222,3222,394,494,0,4,0,0,238,242,0,45,1,0,0,0,54,21,3,2,2,0,10958
2025-04,New York,2572,2534,11541,9753,676,408,0,0,0,0,30,31,0,97,87,0,8,2,495,342,27,13,12,0,28628
2025-04,North Carolina,12586,184,22152,9874,1037,892,0,13,3,0,2119,800,17,792,108,3,0,0,30,10,4,1,0,0,50625
2025-04,North Dakota,397,8489,1835,2394,124,131,0,0,0,0,59,64,1,13,2,0,0,0,3,1,0,0,0,0,13513
2025-04,Ohio,6503,1214,22678,13487,1262,1342,0,4,0,1,1248,434,6,362,41,11,0,0,18,5,1,0,0,0,48617
2025-04,Oklahoma,2491,29,12015,8027,1026,922,0,3,2,0,1389,787,4,160,19,1,0,0,4,11,1,0,1,1,26893
2025-04,Oregon,7133,419,19188,14061,2561,8,1,0,0,0,4,1,0,173,41,0,0,0,584,411,51,0,0,0,44636
2025-04,Pennsylvania,23697,0,38814,19728,10,0,286,0,0,0,0,0,0,767,71,0,0,0,0,0,0,0,0,0,83373
2025-04,Puerto Rico,2703,189,3043,342,36,55,0,0,0,0,38,6,0,0,0,0,0,0,787,97,2,13,1,0,7312
2025-04,Rhode Island,46,0,1358,677,110,171,0,0,0,0,2,2,0,34,10,9,0,0,25,8,0,0,0,0,2452
2025-04,South Carolina,6245,701,11456,4904,680,451,5,2,1,0,750,248,3,223,30,7,0,0,11,6,1,0,0,0,25724
2025-04,South Dakota,778,2,1707,2300,127,120,5,0,0,0,65,65,0,29,0,1,0,0,2,6,0,0,0,0,5207
2025-04,Tennessee,12367,8896,22458,12668,1382,0,0,38,13,0,764,322,0,92,6,0,0,0,0,0,0,0,0,0,59006
2025-04,Texas,33571,0,56213,25988,3404,2770,0,10,9,0,6259,2354,68,257,15,0,0,0,44,17,6,1,0,0,130986
2025-04,Utah,10668,52025,5179,4259,703,1,0,4,3,1,170,147,0,254,45,43,0,0,0,0,0,0,0,0,73502
2025-04,Vermont,0,0,1395,1499,95,116,0,0,0,0,15,10,0,13,3,0,0,0,5,4,0,0,0,0,3155
2025-04,Virgin Islands,182,0,48,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,258
2025-04,Virginia,337,73,22986,13286,3103,1,0,0,0,0,0,0,0,501,54,2,0,0,0,0,0,0,0,0,40343
